업종명,업소명,소재지(도로명),소재지전화
일반음식점,심플레이스 하남점,경기도 하남시 미사강변한강로 295  하남미사 롯데캐슬 헤븐시티 Ⅱ 1층 112~115호 (망월동),
일반음식점,쿠키한입,경기도 하남시 위례대로 220  위례 지웰푸르지오 상가동 1층 118호 (학암동),
일반음식점,스윗카페테리아,경기도 하남시 신우실로 83  스윗컬쳐 2층 일부호 (감이동),
일반음식점,한양화로 위례점,경기도 하남시 위례대로 190  위례 효성해링턴 타워 1층 119 120 130호 (학암동),
일반음식점,진격의 곱도리탕,경기도 하남시 미사강변대로54번길 59  미사센트럴타워 1층 101  102 일부호 (풍산동),
일반음식점,만개꽃,경기도 하남시 위례학암로 18  북위례가하프라자 1층 107호 (학암동),
일반음식점,오렌지,경기도 하남시 미사강변중앙로 190  하남미사 롯데캐슬 스타 1층 152호 (망월동),
일반음식점,하남회관,경기도 하남시 미사강변대로54번길 75  홍우프라자 2층 202호 일부호 (풍산동),
일반음식점,케이터링 다연,경기도 하남시 초이로 49  2층 일부호 (초이동),
일반음식점,카페 민,경기도 하남시 미사대로 520  현대지식산업센터 한강미사2차(25BL) 근린생활시설동 1층 CC01-040 CC01-041호 (덕풍동),
일반음식점,해운대 연탄 생갈비,경기도 하남시 미사강변북로30번길 38  1층 일부호 (망월동),
일반음식점,쉘터나인,경기도 하남시 미사대로 550  현대지식산업센터 한강미사 10층 0C10-0001호 일부호 (덕풍동),
일반음식점,한없는커피,경기도 하남시 미사강변중앙로 218  성산타워 1층 105호 (망월동),
일반음식점,황금화덕,경기도 하남시 서하남로 62  1층 (감북동),
일반음식점,하타네 하남미사점,경기도 하남시 미사강변중앙로 180  힐스테이트 미사역 그랑파사쥬(11-1BL) 1층 1008호 (망월동),
일반음식점,오션스펍 하남미사점,경기도 하남시 미사강변중앙로 200  e편한세상 시티 미사 2층 202-1 202-2호 (망월동),
일반음식점,조은집,경기도 하남시 하남대로 747  하남두산위브파크 1층 122호 (신장동),
일반음식점,오르막커피,경기도 하남시 미사강변동로 81  미사역 큐브앤 타워 1층 102호 (망월동),
일반음식점,비몽사몽,경기도 하남시 미사강변한강로 270-1  미사역 호반 써밋 1층 1-194호 (망월동),
일반음식점,육&육,경기도 하남시 미사강변중앙로111번안길 25  w(더블유) 1층 (풍산동),
일반음식점,옥된장 미사스카이폴리스점,경기도 하남시 미사강변한강로 135  미사강변 스카이폴리스 근린생활시설동 1층 나 160호 (망월동),
일반음식점,오토시,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 1층 1032호 (망월동),
일반음식점,역전할머니맥주 하남북위례점,경기도 하남시 위례학암로13번길 28  1층 (학암동),
일반음식점,레디타임(readytime),경기도 하남시 미사강변중앙로198번길 29  미사푸르지오시티 B동 1층 B-104호 (망월동),
일반음식점,파스타예요 하남미사점,경기도 하남시 미사강변남로 131  퀸즈파크 미사2차 2층 212호 (망월동),
일반음식점,김밥 사랑,경기도 하남시 신장로154번길 27  1층 일부호 (덕풍동),
일반음식점,김영복의 상하이웍,경기도 하남시 검단로 24  2층 (하산곡동),
일반음식점,성현이네,경기도 하남시 수리북로 19  지1층 (덕풍동),
일반음식점,우리동네 반찬가게,경기도 하남시 미사강변한강로 279  하남미사 롯데캐슬 헤븐시티 Ⅰ 1층 125호 일부호 (망월동),
일반음식점,벨류 펍(Value Pub),경기도 하남시 미사강변동로 127  2층 201호 (망월동),
일반음식점,배무치 하남미사점,경기도 하남시 미사강변중앙로 212  미사강변 안강프라이빗뷰 2층 205 일부호 (망월동),
일반음식점,오늘은 찌개,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 지1층 B1015호 (망월동),
일반음식점,수정백반,경기도 하남시 수리남로 18  1층 일부호 (덕풍동),
일반음식점,탭플레이커피 스타필드 하남점,경기도 하남시 미사대로 750  스타필드 하남 지하1층 일부호 (신장동),
일반음식점,래빗도넛,경기도 하남시 미사강변한강로 165  현대클러스터 한강미사3차 1층 에이씨01-0007호 (망월동),
