,name,naverURL
65,모토이시 하남 미사점,"https://map.naver.com/p/search/%EB%AA%A8%ED%86%A0%EC%9D%B4%EC%8B%9C%20%ED%95%98%EB%82%A8%20%EB%AF%B8%EC%82%AC%EC%A0%90/place/1051715388?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
66,하남 인생게장,"https://map.naver.com/p/search/%ED%95%98%EB%82%A8%20%EC%9D%B8%EC%83%9D%EA%B2%8C%EC%9E%A5/?c=15.00,0,0,0,dh"
67,올드몬트 베이글(The OLD MONT Bagel),"https://map.naver.com/p/search/%EC%98%AC%EB%93%9C%EB%AA%AC%ED%8A%B8%20%EB%B2%A0%EC%9D%B4%EA%B8%80%28The%20OLD%20MONT%20Bagel%29/?c=15.00,0,0,0,dh"
68,북촌골,"https://map.naver.com/p/search/%EB%B6%81%EC%B4%8C%EA%B3%A8/?c=15.00,0,0,0,dh"
69,참치정육점 닌자,"https://map.naver.com/p/search/%EC%B0%B8%EC%B9%98%EC%A0%95%EC%9C%A1%EC%A0%90%20%EB%8B%8C%EC%9E%90/?c=15.00,0,0,0,dh"
70,미사 숯불 갈비,"https://map.naver.com/p/search/%EB%AF%B8%EC%82%AC%20%EC%88%AF%EB%B6%88%20%EA%B0%88%EB%B9%84/?c=13.00,0,0,0,dh"
71,알커피(Rcoffee),"https://map.naver.com/p/search/%EC%95%8C%EC%BB%A4%ED%94%BC%28Rcoffee%29/?c=15.00,0,0,0,dh"
72,초록e,"https://map.naver.com/p/search/%EC%B4%88%EB%A1%9De/?c=15.00,0,0,0,dh"
73,(주)더클래스골프,"https://map.naver.com/p/search/%28%EC%A3%BC%29%EB%8D%94%ED%81%B4%EB%9E%98%EC%8A%A4%EA%B3%A8%ED%94%84/?c=15.00,0,0,0,dh"
74,돈미품 프리미엄삼겹(하남점),"https://map.naver.com/p/search/%EB%8F%88%EB%AF%B8%ED%92%88%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%EC%82%BC%EA%B2%B9%28%ED%95%98%EB%82%A8%EC%A0%90%29/place/1099070914?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
75,고려통닭,"https://map.naver.com/p/search/%EA%B3%A0%EB%A0%A4%ED%86%B5%EB%8B%AD/?c=15.00,0,0,0,dh"
76,바른식탁,"https://map.naver.com/p/search/%EB%B0%94%EB%A5%B8%EC%8B%9D%ED%83%81/?c=15.00,0,0,0,dh"
77,에스에이치제이지점(휴식당),"https://map.naver.com/p/search/%EC%97%90%EC%8A%A4%EC%97%90%EC%9D%B4%EC%B9%98%EC%A0%9C%EC%9D%B4%EC%A7%80%EC%A0%90%28%ED%9C%B4%EC%8B%9D%EB%8B%B9%29/?c=15.00,0,0,0,dh"
78,인생아구찜 미사점,"https://map.naver.com/p/search/%EC%9D%B8%EC%83%9D%EC%95%84%EA%B5%AC%EC%B0%9C%20%EB%AF%B8%EC%82%AC%EC%A0%90/place/1423459162?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
79,큰집닭강정 위례점,"https://map.naver.com/p/search/%ED%81%B0%EC%A7%91%EB%8B%AD%EA%B0%95%EC%A0%95%20%EC%9C%84%EB%A1%80%EC%A0%90/place/1677175661?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
80,팔덕식당,"https://map.naver.com/p/search/%ED%8C%94%EB%8D%95%EC%8B%9D%EB%8B%B9/?c=13.00,0,0,0,dh"
81,두번먹는 명인 김치찜,"https://map.naver.com/p/search/%EB%91%90%EB%B2%88%EB%A8%B9%EB%8A%94%20%EB%AA%85%EC%9D%B8%20%EA%B9%80%EC%B9%98%EC%B0%9C/?c=15.00,0,0,0,dh"
82,30년 불멸의 닭발,"https://map.naver.com/p/search/30%EB%85%84%20%EB%B6%88%EB%A9%B8%EC%9D%98%20%EB%8B%AD%EB%B0%9C/?c=15.00,0,0,0,dh"
83,마린보이 코다리1번가(망월점),"https://map.naver.com/p/search/%EB%A7%88%EB%A6%B0%EB%B3%B4%EC%9D%B4%20%EC%BD%94%EB%8B%A4%EB%A6%AC1%EB%B2%88%EA%B0%80%28%EB%A7%9D%EC%9B%94%EC%A0%90%29/place/1703616975?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
